taxon,phylo,state_name,state,total,tail_index,hf_hb,ear,logmass,hb
Millardia_meltada,Millardia_meltada,T,3,-0.504296609,-0.020966786,-0.266024543,0.620154314,4.207226719,-0.47157937
Mus_baoulei,Mus_baoulei,T,3,-1.624599278,-2.116749264,-0.497481835,-1.807691501,2.219203484,-1.345811154
Mus_booduga,Mus_booduga,T,3,-1.392583932,-1.154001544,-0.347144216,-0.537741382,2.616665639,-1.189232327
Mus_bufo,Mus_bufo,T,3,-1.35778163,-0.089896083,0.187180738,-1.471528234,2.265921109,-1.305035418
Mus_callewaerti,Mus_callewaerti,T,3,-1.369382398,-2.47300966,-1.422058192,-1.564906919,2.210469804,-0.972305411
Mus_caroli,Mus_caroli,T,3,-1.200342646,0.108596161,0.599356376,-1.060662019,2.660259537,-1.18107718
Mus_cookii,Mus_cookii,T,3,-1.028817015,-0.192158805,-0.184278462,-0.873904649,3.072693315,-0.957626146
Mus_crociduroides,Mus_crociduroides,T,3,-0.750398601,0.991856485,0.786965196,-1.24741939,3.356897123,-0.942946881
Mus_haussa,Mus_haussa,T,3,-1.749721839,-0.995328413,0.743743131,-2.031800345,1.098612289,-1.610037925
Mus_indutus,Mus_indutus,T,3,-1.687574872,-0.876474394,1.423707653,-1.620934131,1.874874376,-1.552951895
Mus_mahomet,Mus_mahomet,T,3,-1.477932434,-0.834242001,0.193444805,-1.471528234,2.317473705,-1.327869831
Mus_mattheyi,Mus_mattheyi,T,3,-1.727348931,-1.12383555,0.469376976,-2.031800345,2.253394849,-1.572524248
Mus_minutoides,Mus_minutoides,T,3,-1.682603114,-1.075720788,0.325616628,-2.087827557,1.928618652,-1.526855423
Mus_musculoides,Mus_musculoides,T,3,-1.143167436,-0.293969037,-0.083113773,-1.116689231,2.290512512,-1.055487913
Mus_neavei,Mus_neavei,T,3,-1.422414477,-2.977385091,-2.233254927,-1.620934131,2.079441542,-0.972305411
Mus_pahari,Mus_pahari,T,3,-1.026331137,-0.204828523,0.246062972,-1.060662019,3.161246712,-0.952733057
Mus_setulosus,Mus_setulosus,T,3,-1.338723227,-1.433941975,-1.419865768,-1.471528234,2.414126468,-1.086477472
Mus_sorella,Mus_sorella,T,3,-1.650286691,-1.509658621,0.031205458,-1.658285605,2.251291799,-1.443672921
Mus_spretus,Mus_spretus,T,3,-0.804259306,-2.889300386,-3.231434076,-1.284770864,2.747911735,-0.142111421
Mus_tenellus,Mus_tenellus,T,3,-1.712433659,-1.248873598,0.516670686,-2.06915182,2.249184316,-1.543165718
Mus_terricolor,Mus_terricolor,T,3,-1.382640418,-0.217799901,0.090400895,-1.527555445,2.116255515,-1.311559536
Mus_triton,Mus_triton,T,3,-1.401698821,-1.250985217,-0.240028663,-1.303446601,2.514465452,-1.185970268
Mylomys_dybowskii,Mylomys_dybowskii,T,3,0.325986878,-1.296083379,-1.356285483,-0.257605327,4.704834509,0.815302866
Myomyscus_brockmani,Myomyscus_brockmani,T,3,-0.707310036,1.193968649,0.837390939,-0.500389908,3.384390263,-0.952733057
Myomyscus_verreauxii,Myomyscus_verreauxii,T,3,-0.413147723,1.13137421,0.272998462,-0.313632538,3.749504076,-0.691768345
Nesokia_indica,Nesokia_indica,T,3,0.042596706,-1.527305728,-0.143875227,0.059882203,5.352047689,0.56412433
Niviventer_culturatus,Niviventer_culturatus,T,3,0.216608215,1.054903413,0.340337187,0.806911684,4.396545721,-0.137218333
Niviventer_eha,Niviventer_eha,T,3,0.017737919,1.488992076,0.817345924,-0.313632538,3.981549068,-0.447113928
Niviventer_hinpoon,Niviventer_hinpoon,T,3,-0.139701066,0.064252149,-0.889925661,-0.126875168,4.110873864,-0.137218333
Niviventer_tenaster,Niviventer_tenaster,T,3,0.506627397,1.058070843,-0.049287809,0.90029037,4.634728988,0.107436085
Notomys_alexis,Notomys_alexis,T,3,-0.363430149,0.750076038,2.985966076,1.180426425,3.912023005,-0.544975695
Notomys_aquilo,Notomys_aquilo,T,3,-0.114842279,1.624889882,4.36719295,0.246639573,3.725693427,-0.593906578
Notomys_cervinus,Notomys_cervinus,T,3,-0.321998837,1.170891663,3.431654476,1.553941166,3.747148362,-0.626527167
Notomys_fuscus,Notomys_fuscus,T,3,-0.587159232,0.506787291,2.974690755,1.180426425,3.614694556,-0.683613198
Notomys_mitchelli,Notomys_mitchelli,T,3,-0.15627359,0.818703675,2.452267529,0.993669055,3.912023005,-0.38187275
Otomys_angoniensis,Otomys_angoniensis,T,3,0.001165394,-3.54571243,-3.18821201,-0.033496482,4.64554408,1.167605227
Otomys_barbouri,Otomys_barbouri,T,3,-0.355143887,-2.876329009,-2.040948056,0.620154314,4.768988271,0.466262564
Otomys_burtoni,Otomys_burtoni,T,3,-0.537441658,-2.503175655,-0.795338243,0.806911684,4.49980967,0.123746379
Otomys_irroratus,Otomys_irroratus,T,3,-0.3302851,-1.823686626,-0.593322067,0.246639573,4.861593763,0.205297852
Otomys_lacustris,Otomys_lacustris,T,3,-0.317855706,-1.596084196,-0.752742584,0.246639573,4.845760651,0.156366968
Otomys_laminatus,Otomys_laminatus,T,3,0.075741755,-2.1929184,-2.09701146,0.246639573,5.239098007,0.825089042
Otomys_occidentalis,Otomys_occidentalis,T,3,-0.645163069,-2.207398077,-0.686030266,0.059882203,4.343805422,-0.088287449
Otomys_orestes,Otomys_orestes,T,3,-0.516726002,-2.441486196,-1.402013176,0.433396944,4.845760651,0.135163585
Otomys_sloggetti,Otomys_sloggetti,T,3,-0.910323464,-2.582964711,0.086642455,-0.313632538,4.430816799,-0.349252161
Otomys_tropicalis,Otomys_tropicalis,T,3,-0.326141969,-2.793674183,-1.768461122,0.676181525,4.712229258,0.482572858
Otomys_unisulcatus,Otomys_unisulcatus,T,3,-0.388288936,-1.904531491,-1.070017601,0.806911684,4.65396035,0.156366968
Papagomys_armandvillei,Papagomys_armandvillei,T,3,3.932996877,-0.803472687,-0.605536999,2.114213277,7.60090246,4.568301628
Paramelomys_levipes,Paramelomys_levipes,T,3,-0.142186944,-0.157920401,0.663563068,-0.23892959,4.449802099,-0.071977155
Paramelomys_platyops,Paramelomys_platyops,T,3,-0.133900682,-1.528512368,-1.298029656,-0.444362697,4.680277658,0.355352561
Paramelomys_rubex,Paramelomys_rubex,T,3,-0.496010347,0.105428732,0.666381898,-0.556417119,3.864512023,-0.496044811
Parotomys_littledalei,Parotomys_littledalei,T,3,-0.313712575,-1.28959769,-1.291452385,-0.126875168,4.753590191,0.074815496
Paucidentomys_vermidax,Paucidentomys_vermidax,T,3,0.527343053,0.749321888,0.365080253,0.340018258,4.639571613,0.246073588
Pelomys_campanae,Pelomys_campanae,T,3,-0.081697229,0.036801094,0.141453045,-0.257605327,4.343805422,-0.071977155
Pelomys_fallax,Pelomys_fallax,T,3,-0.15627359,-0.366367424,-4.28E-04,-1.957097397,4.724995579,-0.023046271
Praomys_degraaffi,Praomys_degraaffi,T,3,-0.43800651,0.783258632,0.501010517,-0.780525964,3.666122467,-0.62000305
Praomys_derooi,Praomys_derooi,T,3,-0.71311042,0.669834492,0.084136828,-1.004634808,3.465735903,-0.836929966
Praomys_lukolelae,Praomys_lukolelae,T,3,-0.280567526,0.505882311,0.821730771,0.601478577,3.729301369,-0.401445103
Praomys_obscurus,Praomys_obscurus,T,3,-0.139701066,1.080393679,0.196263635,0.07855794,3.854393893,-0.447113928
Pseudohydromys_ellermani,Pseudohydromys_ellermani,T,3,-0.835747103,0.163045782,-0.070272435,-1.583582657,3.08876714,-0.838560996
Pseudomys_albocinereus,Pseudomys_albocinereus,T,3,-0.694880643,0.186122768,0.638820001,-0.126875168,3.488902962,-0.70807864
Pseudomys_apodemoides,Pseudomys_apodemoides,T,3,-0.819174578,0.764857375,1.18567309,-0.126875168,2.833213344,-0.952733057
Pseudomys_australis,Pseudomys_australis,T,3,-0.321998837,-0.569384568,-0.106917229,0.993669055,4.317488114,-0.2350801
Pseudomys_calabyi,Pseudomys_calabyi,T,3,-1.127423537,-0.267272132,-0.138863973,-1.24741939,2.815408719,-1.044070706
Pseudomys_chapmani,Pseudomys_chapmani,T,3,-1.458874031,0.280994821,1.117394755,-1.807691501,2.440606391,-1.455090128
Pseudomys_delicatulus,Pseudomys_delicatulus,T,3,-1.192056384,0.253996256,0.698328642,-1.43417676,2.466403178,-1.197387475
Pseudomys_desertor,Pseudomys_desertor,T,3,-0.736311955,-0.348418657,-0.554484849,-0.873904649,3.401197382,-1.066905119
Pseudomys_fieldi,Pseudomys_fieldi,T,3,-0.570586708,0.338611871,0.86902448,-0.126875168,3.776890331,-0.626527167
Pseudomys_fumeus,Pseudomys_fumeus,T,3,-0.239136214,0.84871884,0.750633605,0.433396944,4.382026635,-0.463424222
Pseudomys_gracilicaudatus,Pseudomys_gracilicaudatus,T,3,-0.487724084,-0.61780099,-0.072778062,-0.313632538,4.49980967,-0.300321278
Pseudomys_hermannsburgensis,Pseudomys_hermannsburgensis,T,3,-1.192056384,0.253996256,1.115828738,-0.873904649,2.634762405,-1.197387475
Pseudomys_higginsi,Pseudomys_higginsi,T,3,-0.031979655,0.752036827,1.423707653,0.993669055,4.175617282,-0.251390394
Pseudomys_johnsoni,Pseudomys_johnsoni,T,3,-1.059476186,0.84871884,0.352238915,-1.396825286,2.772588722,-1.18107718
Pseudomys_nanus,Pseudomys_nanus,T,3,-0.761170742,-0.244345976,0.499131297,-0.873904649,3.954890906,-0.675458051
Pseudomys_novaehollandiae,Pseudomys_novaehollandiae,T,3,-0.86060589,0.590799586,0.837390939,-0.313632538,2.990719732,-0.952733057
Pseudomys_occidentalis,Pseudomys_occidentalis,T,3,-0.670021856,1.394421683,2.683098415,0.059882203,3.80666249,-0.969043352
Pseudomys_oralis,Pseudomys_oralis,T,3,-0.239136214,-0.268629602,0.787904806,0.433396944,4.553876892,-0.137218333
Pseudomys_shortridgei,Pseudomys_shortridgei,T,3,-0.446292773,-1.06667099,-0.554484849,-0.687147279,4.17438727,-0.137218333
Rattus_colletti,Rattus_colletti,T,3,-0.102412885,-0.943744562,-0.974803775,0.059882203,4.9868889,0.211495764
Rattus_facetus,Rattus_facetus,T,3,1.252391008,0.84871884,0.071921896,0.993669055,5.164785974,0.841399337
Rattus_leucopus,Rattus_leucopus,T,3,0.652465614,-0.488539703,-0.781557294,0.097233677,5.327147748,0.86260272
Rattus_lutreolus,Rattus_lutreolus,T,3,-0.222563689,-1.23575139,-0.888672848,0.059882203,4.677490848,0.163706601
Rattus_niobe,Rattus_niobe,T,3,-0.421433985,0.193211776,0.221946312,-0.332308275,3.860519163,-0.447113928
Rattus_praetor,Rattus_praetor,T,3,0.531486184,-0.620817589,-1.165857833,-0.276281064,5.281018602,0.787575365
Rattus_sordidus,Rattus_sordidus,T,3,-0.015407131,-1.030320966,-1.147378834,0.059882203,5.10533923,0.335780208
Rattus_tunneyi,Rattus_tunneyi,T,3,-0.239136214,-0.603773802,-0.490278158,0.059882203,5.131613221,-0.039356566
Rattus_verecundus,Rattus_verecundus,T,3,0.161918884,0.081748426,-0.304235354,-0.23892959,4.505460342,0.15147388
Rattus_villosissimus,Rattus_villosissimus,T,3,0.038453575,-0.299851406,-0.475244396,0.059882203,5.33286371,0.156366968
Rattus_xanthurus,Rattus_xanthurus,T,3,2.155593604,0.879488155,-0.904019813,0.806911684,5.713732806,1.612876266
Rhynchomys_banahao,Rhynchomys_banahao,T,3,0.113029936,-1.352795449,-0.113181297,0.90029037,4.976733742,0.588589772
Rhynchomys_isarogensis,Rhynchomys_isarogensis,T,3,-0.094126623,-2.02217887,-0.621510371,0.433396944,4.80729437,0.629365508
Rhynchomys_soricoides,Rhynchomys_soricoides,T,3,0.262182658,-0.822175603,0.094159336,0.806911684,5.187385806,0.572279478
Rhynchomys_tapulao,Rhynchomys_tapulao,T,3,0.001165394,-1.275570503,0.161498061,0.90029037,4.959342,0.433641975
Saxatilomys_paulinae,Saxatilomys_paulinae,T,3,0.158604379,0.437556333,-0.136984753,0.993669055,4.753590191,0.025884612
Soricomys_leonardcoi,Soricomys_leonardcoi,T,3,-0.868892152,-0.650078604,0.009594425,-1.060662019,3.433987204,-0.699923493
Soricomys_montanus,Soricomys_montanus,T,3,-0.89789407,-0.207090973,0.851798295,-1.060662019,3.295836866,-0.822250701
Soricomys_musseri,Soricomys_musseri,T,3,-0.910323464,-0.308448715,0.176845026,-0.967283334,3.433987204,-0.814095554
Stenocephalemys_albocaudata,Stenocephalemys_albocaudata,T,3,0.050882968,-0.55792149,-0.707328095,1.367183795,4.919980926,0.254228735
Stenocephalemys_griseicauda,Stenocephalemys_griseicauda,T,3,-0.023693393,-0.295024847,-0.717037399,0.806911684,4.525910505,0.09112579
Sundamys_muelleri,Sundamys_muelleri,T,3,2.060301587,0.835747462,-0.780617684,0.713532999,5.705248067,1.555790236
Tarsomys_apoensis,Tarsomys_apoensis,T,3,-0.099927006,-0.099700032,-0.038012487,0.153260888,4.339901708,-0.047511713
Tateomys_macrocercus,Tateomys_macrocercus,T,3,-0.172846115,1.475568209,1.758208855,-0.065245235,3.688879454,-0.593906578
Tateomys_rhinogradoides,Tateomys_rhinogradoides,T,3,0.079884886,0.438461313,1.199767242,0.433396944,4.460144414,-0.047511713
Tokudaia_muenninki,Tokudaia_muenninki,T,3,-0.239136214,-1.385827213,0.424275691,0.732208736,5.17840707,0.188987557
Tokudaia_osimensis,Tokudaia_osimensis,T,3,-0.278081647,-1.032583416,-0.450814533,0.470748418,4.617395156,0.042194907
Tokudaia_tokunoshimensis,Tokudaia_tokunoshimensis,T,3,-0.404861461,-0.411616416,1.486035124,0.526775629,5.192956851,-0.267700689
Xenuromys_barbatus,Xenuromys_barbatus,T,3,2.313032588,-0.693819296,-0.584239169,1.647319851,6.895328384,2.733393498
Xeromys_myoides,Xeromys_myoides,T,3,-0.675822239,-0.589746615,-0.143248821,-0.873904649,3.816612821,-0.507462018
Zelotomys_hildegardeae,Zelotomys_hildegardeae,T,3,-0.73299745,-0.33333566,-0.468980328,-0.500389908,4.053696164,-0.626527167
Zyzomys_argurus,Zyzomys_argurus,T,3,-0.446292773,0.164554081,-0.29358644,-0.313632538,4.094344562,-1.03428453
Zyzomys_maini,Zyzomys_maini,T,3,-0.023693393,0.112668571,-0.16830509,-0.126875168,4.543294782,0.025884612
Zyzomys_palatalis,Zyzomys_palatalis,T,3,-0.346857624,0.157465073,1.135873754,1.553941166,4.744932128,-0.365562456
Zyzomys_woodwardi,Zyzomys_woodwardi,T,3,-0.280567526,-0.871497005,-0.554484849,0.433396944,4.905274778,0.025884612